PK,lat1,lon1,lat2,lon2
176542843011,3220.916667,-131.233333,3224.633333,-126.2
176540087012,2738.75,547.55,2743.55,546.783333
176544568033,2453.7,1780.216667,2451.783333,1772.783333
176530714088,3092.533333,68.233333,3086.966667,55.533333
176553211058,2439.383333,-169,2428.233333,-179
176537705004,3149.883333,-108.166667,3150.766667,-109.25
176541290037,2561.866667,318.9,2575.816667,319.783333
176541613008,2769.816667,360,2769.216667,358.733333
176550348019,3225.716667,808.883333,3225.766667,813.783333
176557901026,2564.866667,1635.916667,2561.45,1640.733333
176536134006,3089.416667,-502.383333,3079.933333,-499.2
176534027030,2876.05,729.266667,2864,741.466667
176557361018,2414.5,1986.283333,2428.433333,1931.966667
176557021012,3117.45,-12.216667,3116.716667,-18.4
176545662014,3283.316667,-200.433333,3279.883333,-197.866667
176537277003,2215.05,1848.15,2219.216667,1850.5
176555959012,827.633333,2174.683333,1320,1898.1
176543541015,2998.2,370.033333,2997.983333,364.183333
176529676057,1642.433333,2004.083333,1638.783333,2011.533333
176553294010,3135.233333,759.4,3137.9,748.8
176545487018,3198.483333,-40.933333,3191.05,-1.916667
176537606064,2629.916667,442.483333,2620.766667,452.716667
176540102038,2558.216667,1859.95,2564.333333,1835.766667
176528499027,2480.4,2327.4,2477.116667,2337.383333
176540219077,3029,475.55,3030.75,464.016667
176556780027,2479.866667,69.133333,2479.116667,101.35
176555719042,2888,127.9,2881.016667,128.3
176558856032,2077,1853,2048.6,1854.4
176542452041,2968.966667,1180.716667,2981.466667,1186.75
176529797031,3615.9,2199.266667,3611.1,2146.966667
176533550063,2279.65,1469.7,2278.333333,1457.116667
176543078005,3136.366667,321.083333,3133.816667,331.733333
176544790090,1521.733333,3310.083333,1519.366667,3314.083333
176545735006,3108.666667,39.1,3109.316667,47.65
176552220028,2349.25,2161.716667,2325.366667,2334.133333
176547334002,2884.5,2264.366667,2884.516667,2266.033333
176557096035,3627.383333,1490.066667,3624.766667,1492.483333
176547903023,3063.233333,-37.5,3067.75,-34.3
176543325049,3328.95,2047.633333,3330.716667,2069.3
176543917025,3353.9,631.866667,3352.666667,642.033333
176529725015,2208.933333,1545.016667,2196.266667,1569.433333
176538003011,2460.666667,1759.25,2451.783333,1772.783333
176546472037,3136.966667,608.3,3141.8,647.716667
176532531043,1985.416667,-981.033333,1884.416667,-993.416667
176551636013,3030.9,63.933333,3032.7,45.2
176551234008,3334.866667,731.15,3335.383333,714.916667
176555562012,2385.666667,-66.65,2394.033333,-85.916667
176547812025,3300.466667,-191.633333,3309.55,-238.883333
176557806010,2115,1422.933333,2113.65,1420.85
176530414061,2790.85,886.516667,2770.283333,937.6
176533500015,2277.416667,1632.35,2290.183333,1625.316667
